编号,站点名称,线路,行政区域
1004,Sta1,1号线,Dist1
1006,Sta159,1号线,Dist1
1008,Sta108,1号线,Dist1
1009,Sta83,1号线,Dist2
1010,Sta107,1号线,Dist2
1011,Sta154,1号线,Dist3
1012,Sta150,1号线,Dist3
1013,Sta64,1号线,Dist3
1014,Sta89,1号线,Dist3
1015,Sta80,1号线,Dist3
1016,Sta97,1号线,Dist3
1017,Sta110,1号线,Dist3
1018,Sta106,1号线,Dist3
1019,Sta34,1号线,Dist3
1020,Sta128,1号线,Dist3
1021,Sta74,1号线,Dist3
1022,Sta149,1号线,Dist3
1023,Sta49,1号线,Dist3
1024,Sta65,1号线,Dist3
1025,Sta9,2号线,Dist1
1026,Sta163,2号线,Dist1
1027,Sta53,2号线,Dist1
1028,Sta78,2号线,Dist1
1030,Sta79,2号线,Dist1
1031,Sta18,2号线,Dist1
1032,Sta123,2号线,Dist2
1033,Sta127,2号线,Dist2
1034,Sta81,2号线,Dist2
1035,Sta27,2号线,Dist2
1036,Sta48,2号线,Dist2
1037,Sta151,2号线,Dist2
1038,Sta68,2号线,Dist4
1039,Sta52,2号线,Dist4
1040,Sta76,2号线,Dist4
1041,Sta57,2号线,Dist4
1042,Sta71,2号线,Dist4
1043,Sta139,2号线,Dist5
1044,Sta24,2号线,Dist6
1045,Sta105,2号线,Dist4
1046,Sta51,2号线,Dist7
1048,Sta143,3号线,Dist7
1049,Sta156,3号线,Dist7
1050,Sta61,3号线,Dist7
1051,Sta50,3号线,Dist7
1052,Sta119,3号线,Dist7
1053,Sta66,3号线,Dist7
1054,Sta12,3号线,Dist7
1055,Sta161,3号线,Dist7
1056,Sta21,3号线,Dist7
1057,Sta133,3号线,Dist6
1058,Sta22,3号线,Dist6
1059,Sta138,3号线,Dist6
1060,Sta41,3号线,Dist6
1061,Sta30,3号线,Dist6
1062,Sta67,3号线,Dist6
1063,Sta144,3号线,Dist6
1064,Sta29,3号线,Dist8
1065,Sta126,3号线,Dist1
1067,Sta40,3号线,Dist5
1068,Sta131,3号线,Dist5
1069,Sta39,3号线,Dist5
1070,Sta100,3号线,Dist5
1072,Sta167,3号线,Dist5
1073,Sta113,3号线,Dist5
1074,Sta141,3号线,Dist5
1075,Sta142,3号线,Dist5
1076,Sta158,3号线,Dist5
1077,Sta44,3号线,Dist5
1078,Sta117,3号线,Dist5
1079,Sta147,3号线,Dist5
1080,Sta42,3号线,Dist5
1081,Sta35,3号线,Dist5
1082,Sta109,3号线,Dist5
1084,Sta33,3号线,Dist5
1085,Sta112,3号线,Dist5
1086,Sta153,3号线,Dist5
1087,Sta125,3号线,Dist5
1088,Sta121,3号线,Dist5
1089,Sta11,3号线,Dist5
1091,Sta134,10号线,Dist5
1092,Sta59,4号线,Dist8
1093,Sta19,4号线,Dist8
1094,Sta62,4号线,Dist8
1095,Sta165,4号线,Dist8
1096,Sta58,4号线,Dist8
1097,Sta38,4号线,Dist8
1098,Sta43,5号线,Dist5
1099,Sta10,5号线,Dist5
1100,Sta96,5号线,Dist5
1101,Sta132,5号线,Dist5
1102,Sta37,5号线,Dist5
1103,Sta16,5号线,Dist5
1104,Sta69,5号线,Dist5
1107,Sta54,5号线,Dist5
1108,Sta120,11号线,Dist6
1109,Sta130,11号线,Dist6
1110,Sta146,11号线,Dist6
1111,Sta25,11号线,Dist6
1112,Sta3,11号线,Dist6
1113,Sta46,11号线,Dist8
1114,Sta86,11号线,Dist8
1115,Sta15,11号线,Dist8
1117,Sta162,11号线,Dist5
1118,Sta118,11号线,Dist5
1119,Sta20,11号线,Dist5
1120,Sta55,11号线,Dist5
1121,Sta70,11号线,Dist5
1122,Sta13,11号线,Dist5
1124,Sta140,11号线,Dist5
1125,Sta77,11号线,Dist10
1126,Sta122,11号线,Dist10
1127,Sta36,11号线,Dist10
1128,Sta166,11号线,Dist10
1129,Sta99,11号线,Dist10
1130,Sta124,11号线,Dist10
1131,Sta28,11号线,Dist10
1132,Sta82,11号线,Dist5
1133,Sta164,11号线,Dist5
1134,Sta152,11号线,Dist1
1135,Sta45,11号线,Dist5
1136,Sta75,10号线,Dist5
1137,Sta136,12号线,Dist3
1138,Sta137,12号线,Dist3
1139,Sta101,12号线,Dist8
1140,Sta17,12号线,Dist8
1141,Sta26,12号线,Dist5
1142,Sta90,12号线,Dist5
1143,Sta95,12号线,Dist5
1144,Sta93,12号线,Dist6
1145,Sta92,12号线,Dist6
1146,Sta32,12号线,Dist6
1147,Sta91,12号线,Dist6
1149,Sta157,10号线,Dist8
1150,Sta168,10号线,Dist5
1151,Sta85,10号线,Dist5
1152,Sta2,10号线,Dist5
1153,Sta4,10号线,Dist5
1154,Sta103,10号线,Dist5
1155,Sta145,10号线,Dist5
1156,Sta88,10号线,Dist5
1157,Sta94,10号线,Dist5
1158,Sta160,10号线,Dist5
1159,Sta7,10号线,Dist5
1160,Sta6,10号线,Dist5
1161,Sta8,10号线,Dist5
1162,Sta102,10号线,Dist5
1165,Sta31,12号线,Dist8
1166,Sta72,12号线,Dist6
1169,Sta116,12号线,Dist6
1170,Sta129,2号线,Dist1
1171,Sta47,2号线,Dist1
1172,Sta60,12号线,Dist2
1173,Sta148,12号线,Dist2
1174,Sta73,12号线,Dist2
1175,Sta23,11号线,Dist5
1176,Sta56,11号线,Dist5
1177,Sta115,11号线,Dist5
1178,Sta63,11号线,Dist1
1185,Sta114,10号线,Dist5
1186,Sta135,10号线,Dist5
1187,Sta87,10号线,Dist8
1188,Sta84,4号线,Dist5
1191,Sta111,11号线,Dist5
